Амоксициллин капс. 500мг №20,"Фармленд №300ул. Шафиева, 28",60.42,1
"Амоксициллин Сандоз таблетки 1000 мг, 12 шт.","Фармленд №300ул. Шафиева, 28",166.62,9
Амоксициллин капс. 500мг №20,Фармленд №580ул.Достоевского д.107,61.01,4
Амоксициллин капс. 500мг №20,Фармленд №205ул.Ахметова д.297,62.1,16
Амоксициллин капс. 500мг №20,Фармленд №205ул.Ахметова д.297,74.8,148
Амоксициллин капс. 500мг №20,Аптека Фармленд №946ул.Жукова д.3/1  ,71.79,2
Амоксициллин капс. 500мг №20,Фармленд №500ул.Менделеева д.128/3,71.79,1
"Амоксициллин Сандоз таблетки 1000 мг, 12 шт.",Фармленд №500ул.Менделеева д.128/3,166.62,4
"Амоксициллин Сандоз таблетки 1000 мг, 12 шт.",Фармленд №500ул.Менделеева д.128/3,173.72,3
Амоксициллин капс. 500мг №20,Фармленд №10ул.Вологодская д.34,73.23,11
Амоксициллин капс. 500мг №20,Фармленд №258ул.Гафури д.50  ,74.8,12
"Амоксициллин Сандоз таблетки 1000 мг, 12 шт.",Фармленд №258ул.Гафури д.50  ,166.62,20
"Амоксициллин Сандоз таблетки 1000 мг, 12 шт.",Фармленд №258ул.Гафури д.50  ,173.72,2
Амоксициллин капс. 500мг №20,Фармленд №256пр-кт Октября д.106 ,76.19,10
"Амоксициллин Сандоз таблетки 1000 мг, 12 шт.","Фармленд №100 ул. Транспортная, 46",166.62,5
"Амоксициллин Сандоз таблетки 1000 мг, 12 шт.","Фармленд №100 ул. Транспортная, 46",173.72,2
"Амоксициллин Сандоз таблетки 1000 мг, 12 шт.",Фармленд №112ул.Коммунистическая д.45,166.62,2
"Амоксициллин Сандоз таблетки 1000 мг, 12 шт.","Фармленд №230 ул. Р. Зорге, 45",166.62,1
"Амоксициллин Сандоз таблетки 1000 мг, 12 шт.","Фармленд №230 ул. Р. Зорге, 45",174.34,10
"Флемоксин Солютаб таблетки 125 мг, 20 шт. по рецепту","Фармленд №224 ул. Первомайская, 23",239.3,7
"Флемоксин Солютаб таблетки 125 мг, 20 шт. по рецепту",Фармленд №256пр-кт Октября д.106 ,239.3,8
"Флемоксин Солютаб таблетки 125 мг, 20 шт. по рецепту","Фармленд №231 ул. К. Маркса, 44",239.71,1
"Флемоксин Солютаб таблетки 125 мг, 20 шт. по рецепту","Фармленд №300ул. Шафиева, 28",239.71,1
"Флемоксин Солютаб таблетки 125 мг, 20 шт. по рецепту",Фармленд №350ул.Дагестанская д.21  ,239.71,2
"Флемоксин Солютаб таблетки 125 мг, 20 шт. по рецепту",Фармленд №350ул.Дагестанская д.21  ,237.69,4
"Флемоксин Солютаб таблетки 125 мг, 20 шт. по рецепту",Фармленд №55ул.Ленина д.21,239.71,3
"Флемоксин Солютаб таблетки 125 мг, 20 шт. по рецепту",Фармленд №580ул.Достоевского д.107,239.71,3
"Флемоксин Солютаб таблетки 125 мг, 20 шт. по рецепту",Фармленд №205ул.Ахметова д.297,240.02,2
"Флемоксин Солютаб таблетки 125 мг, 20 шт. по рецепту",Фармленд №205ул.Ахметова д.297,237.71,6
